Fund,alpha,beta_mkt,beta_smb,beta_hml,beta_mom,t_alpha,t_mkt,t_smb,t_hml,t_mom,R2,AdjR2,N
One,0.002305608903727721,0.0459921974233158,-0.038817050987896104,-0.054520553409959344,-0.0206867685574774,2.3686597860317544,1.8858530180679662,-1.0140507963706071,-1.8045425159381905,-0.9329303364128524,0.032889709215236484,0.019410820145065455,292
Two,-0.0004765208604599813,1.0359714267376892,0.667266388150632,0.20524818558324504,0.0009621390281015357,-0.7935681157874948,68.85836480893995,28.25671478726481,11.01213270982685,0.07033631933916586,0.9685725712065861,0.9681345582617302,292
Three,-0.000670300157746867,0.9360851089488089,-0.1725793640249877,0.2994130912005053,-0.06550185087831013,-1.1080914336792886,61.762980775090575,-7.254629979643783,15.946555102637465,-4.7533452700512955,0.9501351036526764,0.9494401225189157,292
Four,-0.0007820287842710523,1.0976411002480244,-0.06573984589290403,-0.22906359652152822,0.040936676000365886,-0.4084126736849286,22.87933869466068,-0.8730221845220045,-3.854094545581518,0.9384876483892614,0.6977208275680801,0.6935078774296561,292
