,coef,t,p
const,0.0005,0.61,0.5422
Mkt-RF,0.014,0.65,0.514
SMB,-0.0268,-0.95,0.3434
HML,-0.0287,-1.05,0.2927
Mom,0.1797,9.13,0.0
